Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Tim Anderson,2018,25,CHW,AL,3.7,153,606,567,77,136,28,3,20,64,26,8,30,149,0.24,0.281,0.406,0.687,87,0.308,88,230,15,4,2,3,2,*6/HD,
Tim Anderson,2019,26,CHW,AL,4.2,123,518,498,81,167,32,0,18,56,17,5,15,109,0.335,0.357,0.508,0.865,128,0.369,128,253,12,3,0,2,0,*6/DH,
Tim Anderson,2020,27,CHW,AL,2.3,49,221,208,45,67,11,1,10,21,5,2,10,50,0.322,0.357,0.529,0.886,140,0.382,140,110,4,2,0,1,0,*6,"MVP-7,SS"
Tim Anderson,2021,28,CHW,AL,4.7,123,551,527,94,163,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118,0.357,123,247,5,1,0,1,1,*6,AS
Tim Anderson,2022,29,CHW,AL,1.3,79,351,332,50,100,13,0,6,25,13,0,14,55,0.301,0.339,0.395,0.734,109,0.332,105,131,10,5,0,0,1,6,AS
Tim Anderson,2023,30,CHW,AL,-2,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,62,0.263,54,146,15,3,0,2,0,*6/H4,
Tim Anderson,2024,31,MIA,NL,-1.5,65,241,234,16,50,3,0,0,9,4,4,7,68,0.214,0.237,0.226,0.463,27,0.204,15,53,6,0,0,0,0,6/H,
Corey Seager,2016,22,LAD,NL,5.2,157,687,627,105,193,40,5,26,72,3,3,54,133,0.308,0.365,0.512,0.877,134,0.379,137,321,12,4,0,2,5,*6/H,"AS,MVP-3,ROY-1,SS"
Corey Seager,2017,23,LAD,NL,5.3,145,613,539,85,159,33,0,22,77,4,2,67,131,0.295,0.375,0.479,0.854,126,0.37,129,258,14,4,0,3,5,*6/HD,"AS,MVP-17,SS"
Corey Seager,2018,24,LAD,NL,0.5,26,115,101,13,27,5,1,2,13,0,0,11,17,0.267,0.348,0.396,0.744,103,0.344,112,40,2,2,0,1,1,6/H,
Corey Seager,2019,25,LAD,NL,2.9,134,541,489,82,133,44,1,19,87,1,0,44,98,0.272,0.335,0.483,0.817,112,0.345,110,236,8,4,0,4,3,*6/H,
Corey Seager,2020,26,LAD,NL,2.1,52,232,212,38,65,12,1,15,41,1,0,17,37,0.307,0.358,0.585,0.943,150,0.402,150,124,8,1,0,2,0,*6/D,MVP-9
Corey Seager,2021,27,LAD,NL,3.6,95,409,353,54,108,22,3,16,57,1,1,48,66,0.306,0.394,0.521,0.915,142,0.394,143,184,8,5,0,3,2,6/H,
Corey Seager,2022,28,TEX,AL,3.8,151,663,593,91,145,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,117,0.334,113,270,14,7,0,5,7,*6/D,AS
Corey Seager,2023,29,TEX,AL,6.9,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.39,0.623,1.013,174,0.419,169,297,9,4,0,6,9,*6/D,"AS,MVP-2,SS"
Corey Seager,2024,30,TEX,AL,5,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,145,0.363,139,243,8,3,0,2,11,*6D/H,AS
Joey Gallo,2016,22,TEX,AL,-0.5,17,30,25,2,1,0,0,1,1,1,0,5,19,0.04,0.2,0.16,0.36,-3,0.19,-13,4,0,0,0,0,0,/H5D3,
Joey Gallo,2017,23,TEX,AL,2.9,145,532,449,85,94,18,3,41,80,7,2,75,196,0.209,0.333,0.537,0.869,118,0.374,122,241,3,8,0,0,1,537/HD,
Joey Gallo,2018,24,TEX,AL,2.4,148,577,500,82,103,24,1,40,92,3,4,74,207,0.206,0.312,0.498,0.81,109,0.34,104,249,3,3,0,0,4,7398H/D,
Joey Gallo,2019,25,TEX,AL,3.1,70,297,241,54,61,15,1,22,49,4,2,52,114,0.253,0.389,0.598,0.986,145,0.398,139,144,0,2,1,1,4,87/D,AS
Joey Gallo,2020,26,TEX,AL,1.5,57,226,193,23,35,8,0,10,26,2,0,29,79,0.181,0.301,0.378,0.679,87,0.302,84,73,0,4,0,0,2,*9/DH8,GG
Joey Gallo,2021,27,2TM,AL,4.6,153,616,498,90,99,13,1,38,77,6,0,111,213,0.199,0.351,0.458,0.808,121,0.348,118,228,6,6,0,1,5,*97D/H,"AS,GG"
Joey Gallo,2021,27,TEX,AL,4.2,95,388,310,57,69,6,1,25,55,6,0,74,125,0.223,0.379,0.49,0.869,138,0.374,136,152,3,4,0,0,4,9D/H,
Joey Gallo,2021,27,NYY,AL,0.5,58,228,188,33,30,7,0,13,22,0,0,37,88,0.16,0.303,0.404,0.707,93,0.304,88,76,3,2,0,1,1,7/9D,
Joey Gallo,2022,28,2TM,2LG,0.3,126,410,350,48,56,8,2,19,47,3,0,56,163,0.16,0.28,0.357,0.638,79,0.29,79,125,0,3,0,1,0,*79H/D38,
Joey Gallo,2022,28,NYY,AL,0,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339,0.621,76,0.286,78,79,0,0,0,0,0,79/H8D,
Joey Gallo,2022,28,LAD,NL,0.3,44,137,117,16,19,4,1,7,23,1,0,16,57,0.162,0.277,0.393,0.671,86,0.297,83,46,0,3,0,1,0,79/DH3,
Joey Gallo,2023,29,MIN,AL,0.5,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.44,0.741,100,0.32,100,124,3,2,0,0,1,37H89/D,
Joey Gallo,2024,30,WSN,NL,0.3,76,260,223,24,36,9,0,10,27,3,1,32,102,0.161,0.277,0.336,0.613,74,0.282,78,75,1,4,0,1,0,3/9HD7,
