Team,Season,AB,PA,H_x,1B,2B,3B,HR_x,R_x,RBI,BB_x,IBB,SO_x,HBP_x,SF,SH,GDP,SB,CS,ERA,WHIP,SO_y,W,L,SV,WAR,G,GS,CG,IP,H_y,R_y,ER,HR_y,BB_y,HBP_y,WP,BK,GB,FB,LD,Balls,Strikes,Pitches,RS
19,2024,5259,5845,1232,786,235,19,192,629,613,480,11,1452,50,37,19,102,98,26,4.2932,1.406,1167,62,87,32,10.7,626,153,1,1316.8,1268,695,632,154,486,86,54,7,1545,1579,764,7770,13971,21741,575
20,2021,5204,5908,1256,782,258,24,192,714,682,554,37,1362,65,41,42,102,77,19,4.519285714285714,1.625,1224,71,63,26,16.7,581,126,5,1169.8,1090,582,540,156,392,59,40,4,1526,1087,648,6782,12559,19341,625
20,2022,5210,5773,1321,859,236,26,200,707,686,465,15,1271,50,43,4,111,96,25,5.48925925925926,1.5051851851851852,1325,80,69,36,22.0,602,153,2,1305.1,1190,616,567,134,422,67,43,3,1615,1278,753,7608,13703,21311,680
20,2023,5511,6175,1414,874,291,29,220,794,769,537,22,1469,69,42,13,110,141,26,7.669090909090909,1.8168181818181817,1337,83,59,44,23.6,608,147,0,1271.1,1141,621,568,162,412,47,33,5,1550,1282,687,7413,13525,20938,719
20,2024,5185,5781,1349,864,270,22,193,745,722,485,21,1286,58,39,12,103,135,28,7.375416666666666,1.7249999999999999,1305,87,57,28,21.5,553,161,5,1318.4,1228,604,561,168,389,50,37,3,1720,1254,769,7461,13931,21392,737
21,2021,4062,4531,930,640,170,24,96,445,438,385,19,1016,33,26,25,80,50,16,6.437692307692307,1.6292307692307693,1050,46,80,11,2.3,567,133,0,1086.6,1118,674,637,171,503,64,44,2,1318,1187,691,7175,11917,19092,492
21,2022,4683,5179,1064,698,200,27,139,526,487,408,13,1341,45,28,15,81,87,30,8.092608695652174,1.7960869565217392,917,41,81,29,6.2,431,129,0,1039.0,1054,610,547,131,420,61,47,5,1386,1114,671,6518,11130,17648,424
21,2023,4475,5031,1088,691,236,30,131,594,544,459,8,1226,48,34,15,73,104,37,5.04875,1.4937500000000001,1122,64,67,47,10.5,591,124,2,1151.2,1108,635,592,140,489,64,50,6,1446,1196,698,7071,12335,19406,541
21,2024,5109,5703,1201,810,220,15,156,627,616,478,14,1413,55,44,16,95,96,17,6.183478260869565,1.5843478260869563,1138,68,70,41,13.0,551,135,1,1170.2,1083,587,534,135,428,71,31,9,1369,1296,671,6768,12509,19277,548
22,2021,5055,5753,1226,769,260,20,177,689,675,568,41,1252,51,46,27,114,99,38,4.079259259259259,1.3966666666666667,1447,77,75,43,13.2,734,154,2,1358.3,1211,659,606,190,487,82,52,2,1598,1352,749,8303,14780,23083,701
22,2022,4067,4580,999,657,213,16,113,531,517,408,16,980,51,36,15,70,46,13,4.248461538461538,1.2773076923076923,1364,87,66,13,17.6,574,162,0,1367.7,1190,606,561,168,438,76,48,5,1576,1492,742,7911,14538,22449,697
22,2023,4960,5680,1219,772,252,14,181,696,648,603,16,1193,51,41,22,122,137,32,8.356,1.7468000000000001,1308,78,63,36,19.1,579,147,0,1277.1,1095,540,499,145,490,63,41,6,1560,1219,698,7921,13572,21493,693
22,2024,4998,5548,1292,858,233,16,185,697,682,439,15,1052,50,30,27,118,111,25,4.378,1.3865,1272,81,64,39,17.7,570,152,1,1256.5,1152,602,554,144,405,60,52,4,1456,1377,698,7408,13474,20882,659
23,2021,4884,5485,1103,684,217,11,191,644,629,491,8,1383,64,34,9,85,55,22,5.837407407407408,1.4707407407407407,1109,72,62,32,11.1,559,149,1,1193.0,1135,625,581,171,420,48,45,1,1390,1375,721,7078,12921,19999,580
23,2022,5000,5679,1169,753,217,19,180,643,613,540,16,1285,84,43,9,112,83,27,3.485909090909091,1.288181818181818,1261,83,69,40,12.799999999999999,615,151,0,1309.1,1154,554,511,165,403,47,36,0,1459,1505,712,7274,13724,20998,617
23,2023,4911,5564,1213,751,256,12,194,679,666,508,14,1472,107,33,4,89,110,28,4.225769230769231,1.3811538461538464,1283,84,63,23,19.1,571,156,2,1263.4,1119,556,512,151,357,53,37,4,1534,1297,677,6773,13506,20279,686
23,2024,4402,4993,957,609,172,13,163,549,535,477,12,1381,77,26,9,87,103,23,3.8695,1.2129999999999999,1314,75,73,27,17.7,573,162,1,1325.3999999999999,1095,553,506,165,330,44,33,3,1487,1468,689,7050,13699,20749,617
24,2021,5118,5803,1283,774,254,25,230,755,731,556,42,1359,62,29,36,114,59,11,5.501153846153846,1.5057692307692307,1335,98,50,54,21.8,676,162,2,1358.6,1178,547,481,137,386,60,39,5,1740,1275,767,7229,14137,21366,746
24,2022,4664,5291,1104,707,222,18,157,612,589,489,13,1232,86,46,6,93,58,16,5.402,1.4936,1303,77,78,36,19.3,666,161,1,1345.2,1301,648,572,127,407,51,46,2,1875,1249,767,7700,14467,22167,678
